recordType	id	kind	parentOrLineage	labelSr	labelEn	labelDe	externalAlignment	reviewReasons	approval
tag-profile	ae-x-young	historical-stage	Indo-European > Classical Indo-European > Indo-Iranian > Iranian-Nuristani > Iranian > Avestan	младоавестијски	Young Avestan		broader:aves1237	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	als	language	Indo-European > Classical Indo-European > Albanian > Albanian-Tosk > Northern Tosk Albanian	тоскијски	Northern Tosk Albanian		exact:tosk1239	non-cldr-german-label	PENDING
tag-profile	ang	language	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > North Sea Germanic > Anglo-Frisian > Anglic > Old English (ca. 450-1100)	староенглески	Old English (ca. 450-1100)	Altenglisch	exact:olde1238	multiple-serbian-source-meanings	PENDING
tag-profile	ar	language		арапски	Arabic	Arabisch		no-exact-glottolog-alignment	PENDING
tag-profile	bat	family		балтски	Baltic languages			collection-classification,no-exact-glottolog-alignment,non-cldr-german-label	PENDING
tag-profile	be-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > East Slavic > Belarusian	старобелоруски	Old Belarusian		broader:bela1254	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	bg-x-middle	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Macedo-Bulgarian > Bulgarian	средњобугарски	Middle Bulgarian		broader:bulg1262	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	cel	family	Indo-European > Classical Indo-European > Celtic	келтски	Celtic		exact:celt1248	collection-classification,non-cldr-german-label	PENDING
tag-profile	cel-x-gaulish	variety	Indo-European > Classical Indo-European > Celtic	галски			broader:celt1248	collection-classification,english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	ckm	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Western South Slavic > Serbian-Croatian-Bosnian > Chakavski	чакавски	Chakavski		exact:chak1265	non-cldr-german-label	PENDING
tag-profile	cs-x-moravian	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak > Czech	моравски			broader:czec1258	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	cs-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Czech-Slovak > Czech	старочешки	Old Czech		broader:czec1258	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	cu	language	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Church Slavic	старословенски	Church Slavic	Kirchenslawisch	exact:chur1257	multiple-serbian-source-meanings	PENDING
tag-profile	cu-Glag-x-hr	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Church Slavic	хрватски глагољски			broader:chur1257	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,nonexact-standard-tag-alignment,private-use-code	PENDING
tag-profile	cu-x-russian	variety	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > South Slavic > Eastern South Slavic > Church Slavic	руско-црквенословенски			broader:chur1257	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	da-x-old	historical-stage	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > North Germanic > South Scandinavian > Danish	стародански	Old Danish		broader:dani1285	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	de-AT	language	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German > German	аустријски	German (Austria)	Österreichisches Deutsch	broader:stan1295	no-exact-glottolog-alignment,nonexact-standard-tag-alignment	PENDING
tag-profile	de-x-high	variety	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German > German	високонемачки			broader:stan1295	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	de-x-high-new	historical-stage	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German > German	нововисоконемачки			broader:stan1295	english-label-required,no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	de-x-middle	historical-stage	Indo-European > Classical Indo-European > Germanic > Northwest Germanic > West Germanic > High German > Upper German > Middle-Modern High German > Modern High German > Upper Franconian > Global German > German	средњонемачки	Middle German		broader:stan1295	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
tag-profile	dlm	language	Indo-European > Classical Indo-European > Italic > Latino-Faliscan > Latinic > Imperial Latin > Romance > Italo-Western Romance > Italo-Dalmatian > Dalmatian Romance > Dalmatian	далматоромански	Dalmatian		exact:dalm1243	non-cldr-german-label	PENDING
tag-profile	dsb-x-old	historical-stage	Indo-European > Classical Indo-European > Balto-Slavic > Slavic > West Slavic > Sorbian > Lower Sorbian	стародоњолужички	Old Lower Sorbian		broader:lowe1385	no-exact-glottolog-alignment,non-cldr-german-label,private-use-code	PENDING
